brand,category_sum
wal mart,0
amazing brands rank movement nice,-1
google microsoft,0
apple inc  equity,0
bud,0
de la mer de,0
marlboro,2
airlines airlines airlines,0
the gamebbrcisco systems inc,-1
ebay,-1
honda,-1
american girlbr5 microsoftbr6 cocacolabr7,1
yooooo,0
hrefhttpswwwyoutubecomwatchvbqovquga0veampt285445a,0
bmcdonald,0
leastquot quotno,1
apple flewwww,0
the jake paul merchandise kids,0
coco cola,0
nokia samsung toyota,0
apple pewds movebrsamsung,0
volkswagen,3
companybr2018,1
chevron,0
fifa,-1
google brbattle,0
google i39m the fastest,0
jeffree star cosmetics,1
coca cola no1,0
apple google nd facebooksince,0
downbbrsamsung goodbye dearest,0
la de google,0
apple crecan rpido brbra m,0
google estan,0
un,0
irrrraa pues,0
l unica cosa italiana,0
gillette,-1
the gamebrtoyota motor corp has,-1
disney,7
krisbowbr4,-1
apple bcomesbbreditor,1
server111111,0
apple i39m,0
apple chinaed,0
lego,0
cola dobbrcoca cola run,1
apple went sicko,0
como,0
nooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,0
huawei cross,0
samsung corp,-1
apple n google,-1
apple los,0
cocacolabr2,0
byte,0
cisco systems inc,-1
mcdonalds,-1
nokiabr20002012,-1
aos revienta,0
foton,1
kasayang ni,0
coca cola mcdonalds,0
hrefhttpswwwyoutubecomwatchvbqovquga0veampt140220a,0
disney fell once club,0
apple se apoderaron del mundo,0
el mercado,0
googlebr3 cocacolabr2017,0
apple dang,0
chatbbrgoogle,1
apple brbrbrbrbrbrbrbrsearch,-1
star bucks,0
hrefhttpswwwyoutubecomwatchvbqovquga0veampt187307a,0
hrefhttpwwwyoutubecomresultssearch_query23fuckapplefuckapplea,0
canbrgoogle,1
the gamebrba hrefhttpamazoncomamazoncomabb inc,0
nintendo,2
ban disney,0
bmw intel,1
kejayaan,0
oppp,0
apple masterrace,0
nokiabrquotno,1
viva la obsolescencia,0
the volkswagen audi,1
merc,0
caterpillar,1
apple existsbrcoca cola,0
ibm,1
cocacolabr3 ibmbr2013br1,0
woo,-1
min mcdonalds,1
usbr13 germanybr14 usbr15,0
el mundo que alguien,0
kon sa,0
applebroh hello,0
s t o n k s,0
yahoo,0
hrefhttpswwwyoutubecomwatchv6dhrl__un4httpsyoutube6dhrl__un4a,0
apple sucksbrand,0
kodak,1
hrefhttpswwwyoutubecomwatchvbqovquga0veampt3003a toyota motor corp,-1
google,54
musicbrcoca cola n,1
coke,4
hrefhttpswwwyoutubecomwatchvbqovquga0veampt156236a,0
illuminati,1
pewdiepieapplebrt series,0
papsi,0
hrefhttpswwwyoutubecomwatchvbqovquga0veampt247407a,1
couse usa,0
ugh i39m,1
